Node,Degree,Betweenness,Closeness,Eigenvector,Harmonic
"('6250002969', 'Mathematics')",7.296074711805048e-05,0.0,0.12342743932639921,6.82039257943249e-06,0.12864170623545082
"('0029744000', 'Department of Mathematics')",0.00029184298847220193,0.00047123506552132537,0.1408054242860078,9.768143405136756e-05,0.1489298363568746
"('0011379000', 'Department of Chemistry & Biochemistry')",0.00029184298847220193,0.0004436046389338897,0.1331778652285867,3.506140302632522e-05,0.1399873725023239
"('0011395000', 'Department of Chemistry and Biochemistry')",0.0006566467240624544,0.0009348880533457752,0.1352596934797841,1.346133625326923e-05,0.14247009070990835
"('0021303000', 'BU Wheelock College of Education & Human')",7.296074711805048e-05,0.0,0.0933822978340703,2.8329489990736896e-08,0.09609981438659154
"('4012365000', 'Education Research Collaborative')",0.0003648037355902524,0.0026240634818657273,0.10299996994018096,4.054031222141632e-07,0.10692377987287216
"('0028829000', 'Civil and Environmental Engineering')",7.296074711805048e-05,0.0,0.11440352575873927,5.950887436169097e-07,0.11899314458502606
"('0028829000', 'Civil & Environmental Engineering')",0.0005107252298263533,0.00043773254075407393,0.12918123639242593,8.481502682763217e-06,0.1361835687295264
"('0019992001', 'Antatomical Sciences and Neurobiology')",0.00029184298847220193,0.0,0.1302665969681129,5.446168644921125e-05,0.1367389780639386
"('0019992001', 'Anatomical Sciences and Neurobiology')",0.0004377644827083029,0.0006130991916775654,0.14029089941349274,0.00013786346726647782,0.14837345275474434
"('0019992000', 'Department of Biochemistry')",0.0003648037355902524,0.00014592149423610097,0.13026783507898188,5.4710372095144386e-05,0.1367754584374976
"('0019992001', 'Anatomical Sciences & Neurobiology')",0.00029184298847220193,0.0,0.1302665969681129,5.446168644921125e-05,0.1367389780639386
"('0019992001', 'Unknown Dept')",0.0010214504596527067,0.0014576393823370413,0.14349278138970026,0.000534278307202536,0.15290505131815577
"('0027110001', 'Department of Natural Resources')",0.0007296074711805048,0.002851779236022104,0.14583333333333334,5.1070824002753634e-05,0.15635610052836182
"('4001926000', 'Unknown Dept')",0.0023347439077776155,0.011565796252679738,0.16178571006999776,0.0004593551769007331,0.1751014248734247
"('0012492000', 'Mathematics')",0.00014592149423610097,0.00029182169383604927,0.08679132973233113,3.2738002968377174e-10,0.08882340224075332
"('0012492000', 'Department of Mathematics')",0.00021888224135415145,0.00043770059879984495,0.09503668058078742,4.5217994835402e-09,0.09771944844185919
"('0036756000', 'School of Computing')",0.0013132934481249088,0.007887077887219427,0.17249798630688684,0.0004725075994625997,0.18844666569385585
"('0036756000', 'SCI Institute')",0.0005107252298263533,0.0012295427922023258,0.15535279115896855,0.00013627886020021576,0.16632117416445827
"('0036756000', 'Computer Science')",0.0003648037355902524,4.969847962889272e-05,0.15210467322908922,0.00012575095537785083,0.16229637197279503
"('0013151000', 'Ecology and Evolutionary Biology')",0.0011673719538888077,0.0063569763875310275,0.15010404117840323,0.00022347202114580183,0.16143846283748817
"('0013151000', 'Department of Life Sciences')",0.00029184298847220193,2.5521049423595975e-05,0.13981149012567326,6.979383483958932e-05,0.14844749183724615
"('0013151000', 'Organismic Biology, Ecology & Evolution')",0.0005836859769444039,0.0016274363244050346,0.1482755636332165,0.00035783868999002624,0.15896969901055844
"('0018259000', 'Chemical Engineering Department')",0.00029184298847220193,0.0,0.14567678163362915,4.634879511815384e-05,0.15454162752791287
"('0018259000', 'Department of Physics')",0.0010944112067707572,0.002765079055034386,0.15672597539221517,0.00014825520790050028,0.16799233343630401
"('0021550000', 'Earth and Planetary Sciences')",0.0008025682182985553,0.0017967886897019088,0.15078107810781077,0.005097910895674019,0.1609847652712125
"('0021030000', 'Dept. of Geology')",0.0003648037355902524,0.0006995193893075435,0.15476163591608139,0.000929526536154263,0.1653576707677141
"('5300013006', 'Integrated Microscopy Facility')",0.00021888224135415145,0.0,0.11106519184798022,6.40571593820444e-07,0.11508747749808722
"('0035097000', 'Department of Microbiology and Molecular')",0.00021888224135415145,0.0,0.11106519184798022,6.40571593820444e-07,0.11508747749808722
"('0035097000', 'Biology')",0.0003648037355902524,0.00043770059879984485,0.12493846967238519,7.789833490449722e-06,0.13084867894074553
"('0035097000', 'Microbiology and Molecular Cell Sciences')",0.00021888224135415145,0.0,0.11106519184798022,6.405715938204439e-07,0.11508747749808722
"('4003869000', 'Unknown Dept')",0.00014592149423610097,0.0,0.1128400184416782,1.9947366532875377e-07,0.11695473270630159
"('0011726000', 'Anthropology')",0.00014592149423610097,0.0,0.1128400184416782,1.9947366532875377e-07,0.11695473270630158
"('0013144000', 'Department of Anthropology')",0.0003648037355902524,0.00029182169383604927,0.12719005196733482,2.6133515404104e-06,0.1332804647320105
"('0029744000', 'Biology')",0.0003648037355902524,0.00014592149423610097,0.13920797911778746,9.131801775539514e-05,0.14705766188510846
"('0017749000', 'Zool Depart/Univ.of Cambridge Downing St')",7.296074711805048e-05,0.0,0.1221982489613238,6.40631361763294e-06,0.12730677977193083
"('0021394000', 'Environmental Science & Policy')",7.296074711805048e-05,0.0,0.10180948419301165,1.452908680514815e-07,0.10472404835010977
"('0021394000', 'Graduate School of Geography')",0.00021888224135415145,0.00014592149423610097,0.11334860526468131,2.084820925445254e-06,0.1174957206120435
"('0013128000', 'Center for Pure and Applied Mathematics')",0.0003648037355902524,0.0,0.14936954413191075,0.00038369140219561375,0.15883274677233955
"('0013128000', 'Mathematics')",0.0008025682182985553,0.0016644663984208637,0.15514704217699396,0.000591305852779195,0.16634061679844925
