Node,Degree,Betweenness,Closeness,Eigenvector,Harmonic
"('0036582000', 'ICES/Mathematics')",0.02803738317757009,0.10685946041262563,0.23937360178970918,0.002103011838839323,0.2890298175344903
"('0036475000', 'Department of Mathematics')",0.02803738317757009,0.0,0.272264631043257,0.015452907257642865,0.32133585521435964
"('Unknown Inst', 'Unknown Dept')",0.2523364485981308,0.8296596720155175,0.37282229965156793,0.1255519874258419,0.512883845126836
"('0017749000', 'Lab for Astrophysics and Space Research')",0.009345794392523364,0.0,0.18871252204585537,0.0003732499499404093,0.21885173497323013
"('0010819000', 'Department of Chem., Bio. & Mtls. Engr.')",0.037383177570093455,0.0,0.16563467492260062,4.670319232807086e-05,0.20622412374748808
"('0038950000', 'Computer Science')",0.037383177570093455,0.009257626520895785,0.12341407151095732,1.0796656710440244e-05,0.16748762659977612
"('0013052000', 'Department of Mathematics')",0.018691588785046728,0.018691588785046728,0.19384057971014493,0.0005018249259546876,0.22864256719396897
"('0021337000', 'Computer Science')",0.009345794392523364,0.0,0.272264631043257,0.013759326237381159,0.32133585521435964
"('0021782000', 'Department of Chemical Engineering')",0.04672897196261682,0.07317933345089049,0.19705340699815838,0.00047413401417920856,0.24967060457714654
"('5300004738', 'Laboratory for Extraterrestrial Physics')",0.037383177570093455,0.0,0.18197278911564627,0.0003248867086181746,0.21155311459049764
"('0032102000', 'Zoology Department')",0.018691588785046728,0.0,0.18228279386712096,0.004563582364644294,0.2185692033822875
"('5300011708', 'Unknown Dept')",0.009345794392523364,0.0,0.272264631043257,0.013759326237381159,0.32133585521435964
"('0013052000', 'Department of Statistics')",0.009345794392523364,0.0,0.16261398176291794,5.5048116093699384e-05,0.1837274615311997
"('4008181000', 'Science Unit -- WGBH')",0.009345794392523364,0.0,0.272264631043257,0.013759326237381159,0.32133585521435964
"('0013201000', 'Materials and Physics Departments')",0.08411214953271028,0.0,0.25235849056603776,0.3079637868762823,0.32167334223409
"('0021030000', 'Department of Mathematics')",0.018691588785046728,0.0,0.23620309050772628,0.0020747749721199754,0.2765687583444591
"('0010819000', 'Department of Mathematics')",0.009345794392523364,0.0,0.16486902927580893,3.133351347138278e-05,0.19220543215870303
"('0018259000', 'School of Engineering')",0.009345794392523364,0.0,0.21616161616161617,0.0019554729735883616,0.24619492656875824
"('0013151000', 'Deptartment of Mathematics')",0.009345794392523364,0.0,0.2326086956521739,0.001844258128945354,0.26644414775255887
"('0014316000', 'Bartol Research Institute')",0.009345794392523364,0.0,0.22863247863247863,0.002246964430028343,0.26878059635068974
"('4003315000', 'University of Delaware')",0.037383177570093455,0.0,0.23160173160173161,0.0033678374625031133,0.28747218513573647
"('0013151000', 'Inst. for Geophysics & Planetary Physics')",0.018691588785046728,0.0,0.18938053097345134,0.000425023680865974,0.22508226456824576
"('0028829000', 'Department of Earth Sciences')",0.04672897196261682,0.03703050608358314,0.2750642673521851,0.015935832847056852,0.33379691440439097
"('0036756000', 'Meteorology/CARSS')",0.018691588785046728,0.0,0.15994020926756353,3.562739935818918e-05,0.18654232579466212
"('0023259000', 'Department of Electrical Engineering')",0.009345794392523364,0.0,0.272264631043257,0.013759326237381159,0.32133585521435964
"('0010819000', 'Mechanical & Aerospace Engineering')",0.037383177570093455,0.0,0.16563467492260062,4.670319232807086e-05,0.20622412374748808
"('0014316000', 'Department of Chemistry and Biochemistry')",0.02803738317757009,0.018691588785046728,0.23010752688172043,0.0025546714745928877,0.279684023141967
"('0031849000', 'Chemical Engineering')",0.02803738317757009,0.0,0.16537867078825347,6.66446867107184e-05,0.20148447087699414
"('0029207000', 'Department of Neurobiology')",0.009345794392523364,0.0,0.10996916752312436,1.1701082046054913e-06,0.13507842105972945
"('0013201000', 'Department of Chemistry')",0.009345794392523364,0.0,0.20265151515151514,0.03449321946868395,0.23540275923453488
"('0013151000', 'Mathematics')",0.02803738317757009,0.05501675189560924,0.2356828193832599,0.0018957787694444405,0.2812416555407209
"('0021030000', 'Department of Astronomy')",0.04672897196261682,0.09063657203315112,0.2801047120418848,0.016389594949277646,0.34937323839192996
"('0013052000', 'Mathematics')",0.07476635514018691,0.03703050608358314,0.23883928571428573,0.004521157603008125,0.2986871384067644
