Node,Degree,Betweenness,Closeness,Eigenvector,Harmonic
"('0016105000', 'Department of Geology and Geophysics')",0.03496503496503497,0.4628188712695755,0.18619791666666666,0.0021807980312495458,0.24577904612869647
"('0025734000', 'Department of Math & Computer Science')",0.04895104895104895,0.0,0.14742268041237114,0.12728446499617366,0.25792107077072135
"('Unknown Inst', 'Unknown Dept')",0.23076923076923078,0.4221412390426475,0.15294117647058825,0.3387273697137068,0.35931967216932326
"('0014241000', 'Department of Mathematics')",0.04895104895104895,0.0,0.14742268041237114,0.12728446499617366,0.25792107077072135
"('0034140000', 'Oceanography')",0.006993006993006993,0.0,0.16455696202531644,3.644637401749837e-05,0.1962618966115469
"('0027078000', 'Lamont-Doherty Geological Observatory')",0.013986013986013986,0.0,0.17610837438423646,1.819316336979111e-06,0.22712035439308156
"('0016105000', 'Department of Oceanography')",0.08391608391608392,0.20939623756525166,0.13376987839101964,6.126126727263325e-10,0.22896945711631025
"('0013177010', 'Marine Physical Lab/Geosciences Res Div')",0.013986013986013986,0.0,0.15679824561403508,3.454931371939755e-08,0.2080137034682488
"('0013128000', 'Statistics')",0.006993006993006993,0.0,0.11759868421052631,0.00514202945826967,0.17297560237194132
"('0010520000', 'Department of Mathematics')",0.006993006993006993,0.0,0.1327762302692665,0.038993949612969474,0.22258806941036474
"('0013177010', 'Department of Marine Biology Research')",0.02097902097902098,0.0,0.11827956989247312,9.166987761826279e-11,0.17290268007051213
"('0034140000', 'Graduate School of Oceanograph')",0.013986013986013986,0.0,0.16474654377880185,4.118837008968662e-05,0.19975840010805038
"('0026294000', 'Department of Marine & Coastal Sciences')",0.006993006993006993,0.0,0.11385350318471338,4.233274940893367e-10,0.13541838891489236
"('0016105000', 'Hawaii Inst Geophys. & Planetary Sci')",0.02097902097902098,0.06796020880527923,0.11916666666666667,8.083886876025743e-11,0.17826398543181748
"('0027078000', 'Lamont-Doherty Earth Observatory')",0.0979020979020979,0.6446370530877573,0.20967741935483872,1.3926060066002765e-05,0.3081973581973582
"('0027078000', 'Lamont Doherty Earth Observatory')",0.013986013986013986,0.044518861420269874,0.17632552404438964,1.6294678458956702e-06,0.22770310497583218
"('0011627000', 'Management Information System')",0.006993006993006993,0.0,0.1327762302692665,0.038993949612969474,0.22258806941036474
"('0021030000', 'Earth System Sci. Interdisciplinary Ctr.')",0.013986013986013986,0.0,0.16474654377880185,4.118837008968662e-05,0.19975840010805038
"('0013219000', 'Institute of Marine Sciences, UCSC')",0.013986013986013986,0.0,0.15628415300546447,3.393189425291758e-08,0.2054496009041462
"('0027078040', 'Lamont-Doherty Geological Observatory')",0.027972027972027972,0.10937653895400375,0.17875,1.875575903321328e-06,0.2428546201273474
"('0013128000', 'Department of Statistics')",0.02097902097902098,0.013986013986013986,0.13314711359404097,0.04466682031378791,0.23074657756887293
"('5300007293', 'Unknown Dept')",0.006993006993006993,0.0,0.17354368932038836,1.6033661509746501e-06,0.21728019455292166
"('0013177000', 'Department of Medicine')",0.013986013986013986,0.0,0.11560226354082458,7.728475036681468e-11,0.15223168439951645
"('0010637000', 'Global Undersea Research Unit')",0.013986013986013986,0.0,0.11867219917012448,7.986382130261338e-11,0.17208682925466132
"('0025205000', 'Department of Mathematics')",0.013986013986013986,0.013986013986013986,0.14172447968285432,0.015226113796380255,0.2060562689059191
"('0029264000', 'Office of Sponsored Programs')",0.055944055944055944,0.0,0.11996644295302013,0.24861760253114965,0.21318539258173147
"('4070546000', 'Unknown Dept')",0.013986013986013986,0.0,0.12836624775583483,4.1059630346612056e-09,0.16166510257419334
"('0103903000', 'Department of Zoology')",0.013986013986013986,0.0,0.14958158995815898,0.0020810248224400005,0.19370965087748296
"('5300008713', 'Superintendent')",0.03496503496503497,0.0,0.13427230046948357,0.15143911159324522,0.2458980927203882
"('0027078040', 'Lamont-Doherty Earth Observatory')",0.027972027972027972,0.027873534915788437,0.1746031746031746,1.8620290120065977e-06,0.23010070737343458
"('0016105000', 'SOEST/Oceanography')",0.013986013986013986,0.0,0.11818181818181818,7.97368711084966e-11,0.16940617657400864
"('0013508000', 'Chemical & Bioresource Engineering')",0.02097902097902098,0.0,0.1330232558139535,0.05065725165607864,0.22958107640337178
"('0027078040', 'Geochemistry')",0.006993006993006993,0.0,0.14880332986472425,2.1439019821576013e-07,0.1788633084087628
"('0022301000', 'Department of Ocean Engineering')",0.013986013986013986,0.0,0.16803760282021152,2.5477581975502255e-07,0.215057165057165
"('0013177010', 'Marine Biology Research Division, 0202')",0.013986013986013986,0.0,0.1302367941712204,5.778241699633973e-10,0.17926915741601046
"('0029264000', 'Office of Sponsored Programs, Contracts')",0.055944055944055944,0.0,0.11996644295302013,0.24861760253114965,0.21318539258173147
"('4076212000', 'Unknown Dept')",0.027972027972027972,0.231360189106668,0.2034139402560455,4.46249159858718e-05,0.2608782631509904
"('0013508000', 'Chemical and Biological Engineering')",0.02097902097902098,0.0,0.1330232558139535,0.05065725165607864,0.22958107640337178
