Node,Degree,Betweenness,Closeness,Eigenvector,Harmonic
"('0020800000', 'Interdisciplinary Sculpture')",0.00031210986267166043,0.0,0.07000983284169125,3.321527868544092e-08,0.0752478423068607
"('7203585450', 'Unknown Dept')",0.00031210986267166043,0.0,0.11954777806798254,0.023084919612196646,0.13277777752143105
"('6250004721', 'Applied Mathematics')",0.00031210986267166043,0.0,0.1136331394524046,4.778498163494693e-05,0.12615861890431077
"('0015354000', 'Department of Geography')",0.0012484394506866417,0.0,0.10904264370554402,2.0363872446927102e-05,0.12168836644013689
"('0013136000', 'Computer Science')",0.0006242197253433209,0.0006242197253433209,0.10320502496376228,4.019825711442647e-05,0.11368975114199185
"('0037499000', 'Computer Science')",0.003433208489388265,0.014536896137668906,0.10523895549351289,0.001312495580617763,0.11960961930291993
"('0021998000', 'Network Science Institute')",0.0006242197253433209,0.0,0.09906622967039763,1.4825675188742403e-05,0.10847525507975964
"('0028381000', 'Physics and Astronomy')",0.0018726591760299626,0.0018714898602784607,0.0782207465638046,1.4125573127324254e-07,0.08595333352083713
"('0010819000', 'Chemistry & Biochemistry')",0.00031210986267166043,0.0,0.1013507101508873,2.4965540897478614e-05,0.11015574991141898
"('0037143000', 'Architecture')",0.0006242197253433209,0.0,0.0926976044439301,5.5304075604572866e-05,0.10033500796341209
"('0038950000', 'Computer Science')",0.003433208489388265,0.04031280103584968,0.11913437941548301,0.00011018391888313896,0.13793530759547468
"('0016261000', 'Biological Sciences')",0.0028089887640449437,0.0043633017267285705,0.10506984980651932,1.3074723281465994e-05,0.11779626464702231
"('0025650000', 'Computer Science and Engineering')",0.002184769038701623,0.0018720745181542116,0.0946221316558873,1.4896586272422625e-05,0.10753387901720621
"('0021782000', 'Department of EECS, MIT')",0.00031210986267166043,0.0,0.12304619993087292,0.001693180430834234,0.13642365570121115
"('0013706000', 'Office of Contracts and Grants')",0.0009363295880149813,0.0,0.1126621892471606,7.421085068776365e-05,0.12627214436914072
"('0036525000', 'Physics')",0.0012484394506866417,0.0,0.12541590010568757,0.010637747198409256,0.1429830668736035
"('4002127000', 'Geophysical Laboratory')",0.0006242197253433209,0.0,0.09725004552904754,1.3870075924996617e-05,0.10559849614026665
"('0011551001', 'Psychology')",0.0009363295880149813,0.0,0.09880350314542988,0.0009814696830535632,0.10885466769341506
"('0500744000', 'Unknown Dept')",0.0009363295880149813,0.0,0.10109806891329041,4.4930561981126e-05,0.10917566345770353
"('0013482000', 'Physics')",0.001560549313358302,0.0018714898602784607,0.11245656523112561,0.0003020774159411234,0.12412274859160578
"('0026294000', 'Graduate School of Education')",0.00031210986267166043,0.0,0.07895320470170769,2.174619373688983e-08,0.08440162630114341
"('0018259000', 'School of Mechanical Engineering')",0.0012484394506866417,0.019893117697888065,0.12604248623131392,0.04452123391606424,0.14192456623264563
"('0021998000', 'ECE')",0.0018726591760299626,0.049843237502939515,0.12955923978972908,0.0005200206718253274,0.15034676011593184
"('0026211000', 'Department of Biological Sciences')",0.0012484394506866417,0.0,0.11746159768302966,0.0024284156865253563,0.1294770870117856
"('0018408000', 'Department of Chemical and Biomolecular')",0.0009363295880149813,0.0,0.09916434540389972,0.0006214227681112322,0.10741502994498882
"('0033795000', 'Geology & Environmental Science')",0.00031210986267166043,0.0,0.11020534516561759,0.00022874628955961443,0.12094786318183452
"('0021998000', 'Computer Science')",0.003121098626716604,0.003118662552234309,0.1084667727411219,0.0001537697992079689,0.12337289721679749
"('0013219000', 'Computer Engineering')",0.00031210986267166043,0.0,0.10464774471698729,3.882233512887367e-05,0.11521687123956394
"('0015693000', 'School of Civil and Environmental Engine')",0.00031210986267166043,0.0,0.099856635292651,0.0001970577915272859,0.10998001077784685
"('0021030000', 'Department of Atmospheric and Oceanic Sc')",0.00031210986267166043,0.0,0.10498378059569448,4.828148018635209e-05,0.11356797737148194
"('0011312000', 'Division of Physics, Math & Astronomy')",0.002184769038701623,0.013020428335950652,0.09324796274738067,8.838846063280701e-05,0.10261424252315225
"('0010835000', 'Sonoran Center for Excellence in Disabil')",0.0006242197253433209,0.0,0.0916423545563755,3.141693277257438e-05,0.1003485248756169
"('0036327000', 'Unknown Dept')",0.004057428214731586,0.006851995417841342,0.09121448499686842,0.00010694199734213938,0.100419647553768
"('0015354000', 'Schl of Forest Resources & Conservation')",0.0009363295880149813,0.0,0.11632297415045019,4.299394201029368e-05,0.13247825220592663
"('0013706000', 'CIRES')",0.0024968789013732834,0.004986741908237557,0.10670752014920402,0.0011672215743063691,0.12104804410914527
"('0015370000', 'EE')",0.0009363295880149813,0.0,0.10393149085247178,5.598987033958333e-05,0.1152547131755822
"('0032102000', 'School of Public Policy')",0.001560549313358302,0.0,0.09549925484351714,5.1723536047376097e-05,0.1063347235194865
"('0034256000', 'Mechanical Engineering')",0.0012484394506866417,0.0,0.07462964688344359,3.4309252968643564e-09,0.07967451025761195
"('0023879000', 'Department of Chemical Engineering and M')",0.0012484394506866417,0.0,0.1021195219123506,4.202399986339494e-05,0.1139146135618943
"('0026575000', 'Department of Computer Science')",0.003433208489388265,0.012821338317435108,0.09165808444902163,2.7918271323326415e-06,0.10486813200954984
"('0019281000', 'Agronomy')",0.003121098626716604,0.034060425755141496,0.09824001962347458,1.5973427857807144e-05,0.113690185711214
"('0018697000', 'Sociology and Criminal Justice')",0.0012484394506866417,0.0,0.06990596295245784,5.984438992930241e-08,0.0759130740922575
"('0021030060', 'Appalachian Laboratory')",0.0009363295880149813,0.0,0.0700144224465714,4.316918770706263e-08,0.07561197047997764
"('0028068000', 'Department of Civil Engineering Technolo')",0.0009363295880149813,0.0,0.08539218037898777,1.400632946589219e-06,0.09309516847756817
"('0015693000', 'Machine Learning')",0.0006242197253433209,0.0,0.10035393240830645,0.0005211448005112325,0.1112303217556584
"('0036327000', 'Materials Science and Engineering')",0.00031210986267166043,0.0,0.10288686940046883,0.00045730411733927925,0.11126571033858372
"('0017756000', 'Department of Mathematics')",0.0006242197253433209,0.0,0.10923596195151887,0.00296007638056783,0.12074751326499258
"('0037499000', 'Department of Statistics')",0.00031210986267166043,0.0,0.08521276595744681,7.821185173383078e-06,0.09229785185297906
"('4000790000', 'Earth and Planetary Sciences')",0.00031210986267166043,0.0,0.07039592213384893,2.8237480839965537e-08,0.07503555308222817
"('0026633000', 'Civil, Construction and Environmental En')",0.0009363295880149813,0.0,0.08020627331213859,1.4780524641787172e-07,0.0866802361747486
"('0038950000', 'Chemistry')",0.002184769038701623,0.009846090860561822,0.10757453666398066,8.128718053927507e-05,0.1219676961126056
"('0001057000', 'Computing Services')",0.0006242197253433209,0.0,0.0936623012160898,5.840456203674902e-07,0.10260384775942821
"('7203588422', 'Unknown Dept')",0.0009363295880149813,0.0,0.09278887923544743,5.657261584676525e-07,0.10132371532926981
"('0010819000', 'School of Human Evolution and Soc. Chang')",0.00031210986267166043,0.0,0.10533583193608838,0.0006879581829735865,0.11619383158518344
"('0016105000', 'College of Hawaiian Language')",0.0006242197253433209,0.0,0.08983345483093141,5.106747010117753e-07,0.09755991309964995
"('0011080000', 'Biological Sciences')",0.0012484394506866417,0.01978170434007132,0.095696066425734,5.200180735697716e-07,0.10725944180576295
"('0012948000', 'Chemistry, School of Math, Science and E')",0.0009363295880149813,0.0,0.10384727579165721,1.388343569119263e-05,0.11410731832721459
"('0013284000', 'Signal & Image Processing Institute')",0.00031210986267166043,0.0,0.09053916581892167,7.615319590940194e-07,0.0981383724739233
"('6250004721', 'Unknown Dept')",0.0046816479400749065,0.02218492109708618,0.1253472086381597,0.00045409443592544244,0.1460213562715925
"('0033290000', 'Energy & Mineral Engineering')",0.0012484394506866417,0.0,0.11007661387295152,5.040266896044323e-05,0.1262054094890268
"('0010512000', 'Electrical and Computer Engineering')",0.0024968789013732834,0.013421305848538805,0.10617357590217716,6.741655498894121e-06,0.12046636930613869
"('0027854000', 'Mechanical and Aerospace Engineering')",0.003121098626716604,0.009792177869855515,0.11991017964071857,0.0031390510534420567,0.13432552742904644
"('0010207000', 'Unknown Dept')",0.0012484394506866417,0.0,0.11452264360010009,0.0025796438765546387,0.130947681939959
"('0010819000', 'IAFSE - SSEBE')",0.0012484394506866417,0.0018714898602784607,0.09145662660919704,1.2529288703203253e-07,0.1003942538658835
"('0036525000', 'Office of the Provost')",0.0009363295880149813,0.0,0.11142797523822773,6.835608337834811e-05,0.12438328468533728
"('0013052000', 'Department of Geophysics')",0.00031210986267166043,0.0,0.08031282899684163,1.1523406237622367e-06,0.08520850987739317
"('0021550000', 'School of Engineering and Applied Sci')",0.0009363295880149813,0.0,0.10958341883849784,6.101076066402732e-05,0.12136274913028375
"('0018697000', 'Geological & Atmospheric Sciences')",0.001560549313358302,0.0006242197253433209,0.06990748821783907,6.056711417697666e-08,0.07606912902359333
"('0014316000', 'Center for Research in Education and Soc')",0.00031210986267166043,0.0,0.10879087297545074,3.245852307667458e-05,0.11891488071770527
"('0037986000', 'Oceanography')",0.00031210986267166043,0.0,0.11867985331703522,0.00020070421874511114,0.13281182564082314
"('0033712000', 'Computer and Information Sciences')",0.003121098626716604,0.016887145168519465,0.10932168691142351,1.8009931657847173e-05,0.12423045697793147
"('0022301000', 'Geology & Geophysics')",0.0012484394506866417,0.001248244564728058,0.08772314094841747,8.849205432244707e-07,0.09510914580168107
"('0017582000', 'Curriculum and Instruction')",0.0006242197253433209,0.0,0.057819323636626126,1.1224360140512766e-10,0.06115249458992433
"('0013177000', 'Computer Science Engineering')",0.0006242197253433209,0.0,0.10533929510783797,1.2260535336039125e-05,0.11577974737847863
"('7203577407', 'Unknown Dept')",0.0006242197253433209,0.0,0.09818582986025987,6.290459982915347e-06,0.10583680652539186
"('0036756000', 'Chemical Engineering')",0.0012484394506866417,0.0,0.102455871066769,8.198034916563825e-06,0.11342456582082976
"('0036046000', 'Mathematics Department')",0.00031210986267166043,0.0,0.08328351225598503,2.6783154082406724e-06,0.08821033676914534
"('0013508000', 'Office of the Vice President for Researc')",0.0012484394506866417,0.0,0.0867188134354616,1.3505894327363748e-07,0.09483493782938728
"('0096354000', 'STEM Transformation Institute')",0.0006242197253433209,0.0,0.08045197740112994,1.0795143167167085e-08,0.08784746815602912
"('6250041304', 'Life Sciences')",0.0012484394506866417,0.0,0.11656419398260996,0.00669980183638516,0.13224108169015383
"('0019281000', 'Special Educ, Counseling & Stdnt Affairs')",0.0012484394506866417,0.0,0.08215173969898208,4.554335203788633e-07,0.09011203587565618
"('0010835000', 'Unknown Dept')",0.005930087390761548,0.025470206099226553,0.1008816120906801,0.00024154493229159235,0.11497917711594982
"('0037549000', 'Aerospace and Ocean Engineerinig')",0.0009363295880149813,0.0,0.09913366336633664,0.0008863924095632589,0.11062254712983373
"('0016105000', 'Department of Anthropology')",0.0006242197253433209,0.0,0.093381131415581,6.574982304086726e-07,0.10055380385563298
