Node,Degree,Betweenness,Closeness,Eigenvector,Harmonic
"('0036582000', 'ICES/Mathematics')",0.02803738317757009,0.10685946041262563,0.23937360178970918,0.0017087292135645566,0.2890298175344903
"('0036475000', 'Department of Mathematics')",0.009345794392523364,0.0,0.272264631043257,0.01137955548697739,0.32133585521435964
"('Unknown Inst', 'Unknown Dept')",0.23364485981308408,0.8296596720155175,0.37282229965156793,0.10367689038900664,0.512883845126836
"('0017749000', 'Lab for Astrophysics and Space Research')",0.009345794392523364,0.0,0.18871252204585537,0.00027079729011603404,0.21885173497323013
"('0010819000', 'Department of Chem., Bio. & Mtls. Engr.')",0.037383177570093455,0.0,0.16563467492260062,3.3559659407439014e-05,0.20622412374748808
"('0038950000', 'Computer Science')",0.037383177570093455,0.009257626520895785,0.12341407151095732,9.704215810054952e-06,0.16748762659977612
"('0013052000', 'Department of Mathematics')",0.018691588785046728,0.018691588785046728,0.19384057971014493,0.00031948667658310054,0.22864256719396897
"('0021337000', 'Computer Science')",0.009345794392523364,0.0,0.272264631043257,0.01137955548697739,0.32133585521435964
"('0021782000', 'Department of Chemical Engineering')",0.04672897196261682,0.07317933345089049,0.19705340699815838,0.0003354673096131811,0.24967060457714654
"('5300004738', 'Laboratory for Extraterrestrial Physics')",0.018691588785046728,0.0,0.18197278911564627,0.00021112697892878662,0.21155311459049764
"('0032102000', 'Zoology Department')",0.018691588785046728,0.0,0.18228279386712096,0.0045307320561688265,0.2185692033822875
"('5300011708', 'Unknown Dept')",0.009345794392523364,0.0,0.272264631043257,0.01137955548697739,0.32133585521435964
"('0013052000', 'Department of Statistics')",0.009345794392523364,0.0,0.16261398176291794,3.5110202038739e-05,0.1837274615311997
"('4008181000', 'Science Unit -- WGBH')",0.009345794392523364,0.0,0.272264631043257,0.01137955548697739,0.32133585521435964
"('0013201000', 'Materials and Physics Departments')",0.08411214953271028,0.0,0.25235849056603776,0.30956663128536105,0.32167334223409
"('0021030000', 'Department of Mathematics')",0.018691588785046728,0.0,0.23620309050772628,0.001688462167130312,0.2765687583444591
"('0010819000', 'Department of Mathematics')",0.009345794392523364,0.0,0.16486902927580893,2.2493539425385856e-05,0.19220543215870303
"('0018259000', 'School of Engineering')",0.009345794392523364,0.0,0.21616161616161617,0.001620534966337777,0.24619492656875824
"('0013151000', 'Deptartment of Mathematics')",0.009345794392523364,0.0,0.2326086956521739,0.0015008693975863817,0.26644414775255887
"('0014316000', 'Bartol Research Institute')",0.009345794392523364,0.0,0.22863247863247863,0.0016261986536695993,0.26878059635068974
"('4003315000', 'University of Delaware')",0.037383177570093455,0.0,0.23160173160173161,0.0024394104125355412,0.28747218513573647
"('0013151000', 'Inst. for Geophysics & Planetary Physics')",0.018691588785046728,0.0,0.18938053097345134,0.00030844157103655014,0.22508226456824576
"('0028829000', 'Department of Earth Sciences')",0.02803738317757009,0.03703050608358314,0.2750642673521851,0.01169617939297302,0.33379691440439097
"('0036756000', 'Meteorology/CARSS')",0.018691588785046728,0.0,0.15994020926756353,2.2922379416371112e-05,0.18654232579466212
"('0023259000', 'Department of Electrical Engineering')",0.009345794392523364,0.0,0.272264631043257,0.01137955548697739,0.32133585521435964
"('0010819000', 'Mechanical & Aerospace Engineering')",0.037383177570093455,0.0,0.16563467492260062,3.3559659407439014e-05,0.20622412374748808
"('0014316000', 'Department of Chemistry and Biochemistry')",0.02803738317757009,0.018691588785046728,0.23010752688172043,0.0018493254616187337,0.279684023141967
"('0031849000', 'Chemical Engineering')",0.02803738317757009,0.0,0.16537867078825347,4.727918193041767e-05,0.20148447087699414
"('0029207000', 'Department of Neurobiology')",0.009345794392523364,0.0,0.10996916752312436,1.0533436039717084e-06,0.13507842105972945
"('0013201000', 'Department of Chemistry')",0.009345794392523364,0.0,0.20265151515151514,0.034729257946417916,0.23540275923453488
"('0013151000', 'Mathematics')",0.02803738317757009,0.05501675189560924,0.2356828193832599,0.0015429446321330758,0.2812416555407209
"('0021030000', 'Department of Astronomy')",0.04672897196261682,0.09063657203315112,0.2801047120418848,0.01350390763218274,0.34937323839192996
"('0013052000', 'Mathematics')",0.05607476635514018,0.03703050608358314,0.23883928571428573,0.00287348746107167,0.2986871384067644
"('4004842000', 'Department of Medicine')",0.018691588785046728,0.0,0.2729591836734694,0.012782652277447383,0.3260087524106214
"('0021550000', 'School of Engineering and Applied Scien')",0.08411214953271028,0.0,0.25235849056603776,0.30956663128536105,0.32167334223409
"('0028829000', 'Mechanical and Aerospace Engineering')",0.02803738317757009,0.0,0.2743589743589744,0.01460302626233651,0.332239282005637
"('0068585000', 'Unknown Dept')",0.018691588785046728,0.0,0.2729591836734694,0.012782652277447383,0.3260087524106214
"('0013201000', 'Chemical Engineering')",0.102803738317757,0.19008993122906012,0.3128654970760234,0.3233301496411995,0.39893190921228333
"('0013052000', 'Division of Biomechanical Engineering')",0.04672897196261682,0.0,0.23777777777777778,0.002841855737473775,0.29245660881174884
"('0013052000', 'Chemical and Mechanical Engineering')",0.05607476635514018,0.08993122906013049,0.24044943820224718,0.0028750741008751112,0.30336003560302616
"('0011510001', 'Department of Biology')",0.02803738317757009,0.139657908658085,0.1848013816925734,0.004581886734153403,0.2296283934134401
"('0013201000', 'Earth Sciences')",0.009345794392523364,0.0,0.17953020134228187,0.004027866335002677,0.20875611927013796
"('0013201000', 'Materials Research Laboratory')",0.08411214953271028,0.0,0.25235849056603776,0.30956663128536105,0.32167334223409
"('0020537000', 'School of Earth and Climate Sciences')",0.018691588785046728,0.0,0.2165991902834008,0.0014421469917074866,0.250089007565643
"('4003180000', 'Unknown Dept')",0.009345794392523364,0.0,0.23883928571428573,0.03548604741895983,0.2736315086782376
"('0010819000', 'Mathematical & Statistical Sciences')",0.05607476635514018,0.09063657203315112,0.19705340699815838,0.00020481883171563295,0.2512282369759005
"('4004842000', 'Renal Unit')",0.018691588785046728,0.0,0.2729591836734694,0.012782652277447383,0.3260087524106214
"('0010819000', 'Chemical Engineering')",0.02803738317757009,0.0,0.27365728900255754,0.01458047337638498,0.3306816496068831
