Node,Degree,Betweenness,Closeness,Eigenvector,Harmonic
"('0036582000', 'ICES/Mathematics')",0.002477291494632535,0.0,0.08049720818931136,3.5436147527202956e-07,0.09811932357711613
"('0026575000', 'Department of Physics')",0.0008257638315441783,0.0,0.10974173085636611,0.00012136625037801619,0.12901407885196187
"('5300017430', 'Sociology and Psychology  Department')",0.0033030553261767133,0.0,0.08391656849837156,1.8829313448494603e-06,0.09854196140655685
"('0013136000', 'Computer Science')",0.007431874483897605,0.03264428687444977,0.05571658615136876,3.888459126928639e-11,0.07070217020960119
"('0023259000', 'Electrical Eng. & Computer Sci')",0.0016515276630883566,0.0,0.08908997278010741,4.68184000439654e-07,0.10457007774992667
"('0017392000', 'Unknown Dept')",0.002477291494632535,0.0033003255283864845,0.05670537553849035,6.814349850008871e-12,0.06584102049922866
"('0013714000', 'Mechanical and Materials Engineering')",0.002477291494632535,0.0,0.06820613911574204,1.5876266181331399e-09,0.07759550176896468
"('0020297000', 'Chemical and Biomolecular Engineering')",0.002477291494632535,3.0710225140072745e-05,0.07034562881208249,4.4913246440799267e-08,0.08146887969848836
"('0028944000', 'The Institute of Optics')",0.004128819157720892,0.01313578696658045,0.07660678137651822,4.6075485419567076e-08,0.09160265028582844
"('0010819000', 'Chemistry & Biochemistry')",0.0016515276630883566,0.0016515276630883566,0.05931912809208915,1.242359997713111e-09,0.07032165372523616
"('0032565000', 'Mechanical Engr and Mechanics')",0.0033030553261767133,0.0,0.10182460270747498,3.754127598396241e-05,0.11910537491866922
"('0010520000', 'Department of Mathematics')",0.00495458298926507,0.004946393595894384,0.07684010152284264,1.0041656678339903e-08,0.09189793541167415
"('0036582000', 'Department of Computer Science')",0.002477291494632535,0.0,0.07467472405500401,1.273752322919655e-07,0.08509853322988162
"('0014266000', 'Physics')",0.005780346820809248,0.024486286178351337,0.1111213066617728,0.0002192160159722279,0.13812009119909727
"('0022905000', 'College of Education/Dept. of Sociology')",0.00495458298926507,0.0033003255283864845,0.08392820015247072,1.9526844098384733e-06,0.09936772523810102
"('0021030000', 'National Socio-Environmental Synthesis C')",0.0016515276630883566,0.0,0.07166528583264292,1.1459371654403165e-07,0.08899354220009179
"('4010898000', 'Department of Oceanography')",0.0033030553261767133,0.0016515276630883566,0.06114617520828074,2.9616539424868194e-06,0.06988475287137368
"('0040626000', 'Academic Affairs')",0.004128819157720892,0.0,0.08391075388026607,2.3972454760050745e-06,0.0986795887118142
"('0033290000', 'Center for Particulate Materials')",0.0008257638315441783,0.0,0.06641074856046066,2.4807974033991895e-09,0.07455037061141921
"('0026294000', 'Graduate School of Education')",0.0016515276630883566,0.0,0.09110743304243153,8.702874406673403e-06,0.10472017822044576
"('0022210000', 'Mathematics & Statistics')",0.0033030553261767133,0.0,0.07284210526315789,6.723362336229223e-09,0.08822381084207359
"('0033290000', 'College of Engineering')",0.0008257638315441783,0.0,0.07651481645289694,3.978283808225132e-08,0.08933179974908205
"('0013128000', 'Department of Computer Science')",0.002477291494632535,0.0,0.09670979076824789,5.005840754733719e-05,0.11878821864808835
"('0022905000', 'Department of Physics and Astronomy')",0.006606110652353427,0.049281721956446076,0.09278271529267546,8.189243821915487e-06,0.11506671534237496
"('0013136000', 'John Muir Institute of the Environment')",0.002477291494632535,0.0,0.05877784788623016,2.372030756752901e-10,0.07069609549560085
"('0025684000', 'Biochemistry')",0.0033030553261767133,0.0,0.08079258122623258,6.70774830552821e-07,0.09828649501032669
"('0025205000', 'Department of Mathematics')",0.0016515276630883566,0.0033003255283864845,0.08679759174311927,2.4208611162953167e-06,0.09971064177573542
"('0011312000', 'Physics, Appl. Physics, & Bioengineering')",0.0008257638315441783,0.0,0.07547993019197208,8.846606588933587e-08,0.08726245961175003
"('0011312000', 'Div. of Chemistry and Chemical Engineeri')",0.002477291494632535,0.004946393595894384,0.06648731744811684,9.652647299154349e-10,0.07609540095496319
"('0014480000', 'Department of Electrical Engineering')",0.004128819157720892,0.01313578696658045,0.0828544061302682,2.7834202970009157e-07,0.10168452155452798
"('0500677000', 'Mathematics')",0.0033030553261767133,0.02225011559541452,0.08609412768377649,1.44655136871299e-06,0.10444549149200513
"('0028381000', 'Applied Math.& Statistics')",0.004128819157720892,0.0,0.09498039215686274,1.5339371942744612e-05,0.11258341003399243
"('0013151000', 'Department of Anthropology')",0.0033030553261767133,0.0,0.06953376205787781,9.73228966855013e-05,0.08113760355146914
"('0021048000', 'Dept. of Biochem. & Molecular Biolgoy')",0.0016515276630883566,0.0,0.12324445349073886,0.0010516744979400937,0.15389023287879314
"('0023259000', 'School for Environment & Sustainability')",0.0016515276630883566,0.0,0.056124577095981835,2.0621641642512134e-09,0.06584388471563393
"('0036327060', 'Computer Science')",0.002477291494632535,0.0033003255283864845,0.09425591531755916,4.182756531086526e-06,0.11627219969904928
"('0037457000', 'Department of Computer Science')",0.00495458298926507,0.02779616599900362,0.07977602108036891,1.554214174403934e-07,0.09924273113953226
"('0010553000', 'Dept. of Mechanical & Aerospace Engr.')",0.0033030553261767133,0.0,0.09494315954527636,0.1365430050605311,0.11852783229830725
"('0030908000', 'Physics')",0.006606110652353427,0.006596556360087626,0.0816367803694216,6.468229496358526e-07,0.09957155306885444
"('0038950000', 'Department of Philosophy')",0.0033030553261767133,0.0,0.0649991948902367,7.511520020729923e-10,0.07415573119624308
"('0011080000', 'Dept of Chemistry and Biochemistry')",0.0033030553261767133,0.0,0.06616763195279204,6.6444013161465775e-09,0.07840522949377507
"('4007555000', 'Space Studies')",0.002477291494632535,0.0,0.08354028697571744,1.4795961633712922e-06,0.09502165154850956
"('0023879000', ""Chemical Eng'g & Materials Sci."")",0.0008257638315441783,0.0,0.11126424108783535,0.0001600232993402634,0.13281920573718778
"('0033290000', 'Materials Science & Engineering')",0.0033030553261767133,0.0016522101125359138,0.07113069016152716,1.8594683096907898e-08,0.08263124367561293
"('0022210000', 'Department of Biology')",0.0016515276630883566,0.0,0.06623277182235834,1.4411861328807514e-09,0.0756069594819162
"('0018697000', 'Materials Science and Engineering')",0.00495458298926507,0.0,0.08389912706110572,1.5763081733453016e-06,0.09975458404095658
"('0027078000', 'Computer Science')",0.00495458298926507,0.008230340337539496,0.0967484221458816,5.785430943120627e-05,0.11961398247963255
"('0029207000', 'Mathematics Department')",0.0016515276630883566,0.0,0.07684010152284264,1.5264995650154531e-07,0.09035653710139642
"('0017756000', 'Theoretical & Applied Mechanics')",0.002477291494632535,8.189393370686066e-06,0.07763318161420604,9.594221298300598e-08,0.09028797774107651
"('0026211000', 'Department of Mathematical Sciences')",0.0033030553261767133,0.0,0.07284210526315789,6.723362336229223e-09,0.08822381084207359
"('0013706000', 'INSTAAR')",0.0016515276630883566,0.0,0.05667618289886273,8.155210840982333e-11,0.06347621664640199
"('6250000287', 'Unknown Dept')",0.0016515276630883566,0.0,0.09619509095241878,0.09865361993321378,0.11976446611132427
"('0021550000', 'Department of Physics')",0.00495458298926507,0.4258702942488625,0.13657381301454832,0.0010372401000036345,0.17390250965443965
"('0015362000', 'College of Engineering')",0.0033030553261767133,0.0,0.08389912706110572,1.8609226133991842e-06,0.09812907949078475
"('0016717000', 'Mathematical Sciences')",0.002477291494632535,0.0016515276630883566,0.07879497690155508,7.809189533272615e-05,0.09452257480647601
"('0013169000', 'Chemistry')",0.0008257638315441783,0.0,0.10294117647058823,3.9273763888131964e-05,0.12270536848198924
"('0025163000', 'Dalton Cardiovascular Research Center')",0.0033030553261767133,0.0,0.10255758807588077,0.13984842214638954,0.12782244930780814
"('0027961000', 'Department of Chemistry')",0.0008257638315441783,0.0,0.12323191207896611,0.000914455797888546,0.15347735096302106
"('0019992000', 'Department of Chemical Engineering')",0.0033030553261767133,0.0,0.11662172573189522,0.008541055177202678,0.14131949578408487
"('0033290000', 'Department of Mechanical Engineering')",0.002477291494632535,0.0,0.09073199970030718,4.5219165841481443e-07,0.10690943487871403
