Node,Degree,Betweenness,Closeness,Eigenvector,Harmonic
"('0020800000', 'Interdisciplinary Sculpture')",0.00031210986267166043,0.0,0.07000983284169125,2.572570341892582e-08,0.0752478423068607
"('7203585450', 'Unknown Dept')",0.00031210986267166043,0.0,0.11954777806798254,0.02104386128969427,0.13277777752143105
"('6250004721', 'Applied Mathematics')",0.0009363295880149813,0.0,0.1136331394524046,4.733183206650753e-05,0.12615861890431077
"('0015354000', 'Department of Geography')",0.0012484394506866417,0.0,0.10904264370554402,1.6703388942616743e-05,0.12168836644013689
"('0013136000', 'Computer Science')",0.0006242197253433209,0.0006242197253433209,0.10320502496376228,2.731769376340214e-05,0.11368975114199185
"('0037499000', 'Computer Science')",0.004057428214731586,0.014536896137668906,0.10523895549351289,0.0012378363829244443,0.11960961930291993
"('0021998000', 'Network Science Institute')",0.0006242197253433209,0.0,0.09906622967039763,1.4453584876958975e-05,0.10847525507975964
"('0028381000', 'Physics and Astronomy')",0.0018726591760299626,0.0018714898602784607,0.0782207465638046,1.0346123155209625e-07,0.08595333352083713
"('0010819000', 'Chemistry & Biochemistry')",0.00031210986267166043,0.0,0.1013507101508873,1.9745346248749695e-05,0.11015574991141898
"('0037143000', 'Architecture')",0.0006242197253433209,0.0,0.0926976044439301,5.1483317716197055e-05,0.10033500796341209
"('0038950000', 'Computer Science')",0.003433208489388265,0.04031280103584968,0.11913437941548301,8.210893006513096e-05,0.13793530759547468
"('0016261000', 'Biological Sciences')",0.0028089887640449437,0.0043633017267285705,0.10506984980651932,1.1052621617074053e-05,0.11779626464702231
"('0025650000', 'Computer Science and Engineering')",0.002184769038701623,0.0018720745181542116,0.0946221316558873,1.0121797950346617e-05,0.10753387901720621
"('0021782000', 'Department of EECS, MIT')",0.00031210986267166043,0.0,0.12304619993087292,0.0013182300406040486,0.13642365570121115
"('0013706000', 'Office of Contracts and Grants')",0.0009363295880149813,0.0,0.1126621892471606,5.7201170577478734e-05,0.12627214436914072
"('0036525000', 'Physics')",0.0012484394506866417,0.0,0.12541590010568757,0.00922409873571772,0.1429830668736035
"('4002127000', 'Geophysical Laboratory')",0.0012484394506866417,0.0,0.09725004552904754,1.559325828950391e-05,0.10559849614026665
"('0011551001', 'Psychology')",0.0009363295880149813,0.0,0.09880350314542988,0.000929257641283697,0.10885466769341506
