node,centrality,label,period,log_centrality
6250002969,0.0014748964767109809,6250002969,Historic,-6.519167476934147
0029744000,0.0722270132327283,University of North Carolina at Chapel Hill,Historic,-2.627941158560334
0011395000,0.014565595020908425,California State University-Long Beach,Historic,-4.229093036613676
0011379000,0.007887386501358217,California State University-Fullerton,Historic,-4.842490440903509
0021303000,0.07905033760193576,Trustees of Boston University,Historic,-2.53767044459655
4012365000,0.013007753421532934,TERC Inc,Historic,-4.342209682265563
0028829000,0.056444172501912034,Syracuse University,Historic,-2.8745032266309916
0019992000,0.017765495450941558,University of Louisville,Historic,-4.030497160737245
0019992001,0.016493136888531136,University of Louisville Research Foundation Inc,Historic,-4.104810930754825
0027110001,0.03243666570901469,Cornell Univ - State: AWDS MADE PRIOR MAY 2010,Historic,-3.4284658383400974
4001926000,0.019683429958758013,"Cary Institute of Ecosystem Studies, Inc.",Historic,-3.9279781160219045
0029231000,0.020090882429879102,East Carolina University,Historic,-3.9074891772832276
0012492000,0.0034051002431006684,Occidental College,Historic,-5.682480899843181
0036756000,0.094420201915005,University of Utah,Historic,-2.3600002253892125
0013151000,0.13116379431193245,University of California-Los Angeles,Historic,-2.0313083985438802
0018259000,0.1308802107367747,Purdue University,Historic,-2.033472795976378
0030908000,0.10666628457668301,Ohio State University,Historic,-2.238050153956487
0030908001,0.07929824304218311,Ohio State University Research Foundation -DO NOT USE,Historic,-2.5345393064230577
0021550000,0.11463987575482021,Harvard University,Historic,-2.165959579248396
0021030000,0.13979964132321915,"University of Maryland, College Park",Historic,-1.9675450148279277
0036525000,0.040012934423920704,University of Houston,Historic,-3.218552516539954
0037655000,0.0031114960850656486,Norfolk State University,Historic,-5.7726516121702725
0013128000,0.11142046625917956,University of California-Berkeley,Historic,-2.194444249699071
0035097000,0.02440224712345458,University of Memphis,Historic,-3.7130800556999373
5300013006,0.010167068502646077,5300013006,Historic,-4.588601359967534
4003869000,0.0018589797295957148,Human Relations Area Files,Historic,-6.287727474231426
0013144000,0.08902400660062881,University of California-Irvine,Historic,-2.418849208536787
0011726000,0.0020176001443244717,Pitzer College,Historic,-6.205846521220874
0500595000,0.0003336393574491951,Mount Sinai School of Medicine,Historic,-8.005449916473323
0025205020,0.007164227400380637,Washington University School of Medicine,Historic,-4.938655053190758
0017749000,0.10680263026638998,University of Chicago,Historic,-2.236772724796853
0021394000,0.010485933288701602,Clark University,Historic,-4.55772060679161
0036327001,0.03106891813065497,Texas A&M Research Foundation,Historic,-3.47154737656788
0018408000,0.0723155573771318,University of Notre Dame,Historic,-2.6267159948579657
0013201000,0.10842660654044987,University of California-Santa Barbara,Historic,-2.221681772303844
0038000000,0.07163133057239114,Washington State University,Historic,-2.636222722898103
0014456000,0.027536240930012456,Georgetown University,Historic,-3.5922522899139397
0013706000,0.14550775689261533,University of Colorado at Boulder,Historic,-1.927525881814885
0033787000,0.0940777505421571,University of Pennsylvania,Historic,-2.3636337051712726
0018903000,0.006180805749040983,University of Northern Iowa,Historic,-5.086306635907566
0020891000,0.0021958935676651705,Prince George's Community College,Historic,-6.12116622296423
0022293000,0.003471150476280866,Williams College,Historic,-5.663269190613232
0039545000,0.054201119362995716,The University of Central Florida Board of Trustees,Historic,-2.915053718296
0036582000,0.1270201221346784,University of Texas at Austin,Historic,-2.063409763068813
0018259002,0.011450663339351677,0018259002,Historic,-4.469707617092141
0015354000,0.13111403158790322,University of Florida,Historic,-2.0316878642837355
0019281000,0.032783094619536254,Kansas State University,Historic,-3.417842304401336
0039446000,0.009316301135520054,University of Puerto Rico Mayaguez,Historic,-4.675989602931154
0092759000,0.004694743390762432,Northern Kentucky University,Historic,-5.361311823670244
0013219000,0.05287685173234597,University of California-Santa Cruz,Historic,-2.9397896212862005
0096354000,0.045221674554065595,Florida International University,Historic,-3.0961787815471533
0010819000,0.13545743461369514,Arizona State University,Historic,-1.9990978237056203
0031708000,0.033950178431300354,Oklahoma State University,Historic,-3.382861169282838
0028365000,0.01037071679442478,SUNY at Binghamton,Historic,-4.5687691371984815
6250002181,0.0002118027029307074,6250002181,Historic,-8.459855363165898
0027110000,0.14565044176996664,Cornell University,Historic,-1.9265457624884912
4100756000,0.017010197398752362,Smithsonian Institution Astrophysical Observatory,Historic,-4.073942267776778
0021717000,0.0005777682628295773,Massachusetts Bay Community College,Historic,-7.456337699046155
0001966000,0.02829367774598824,University of Massachusetts Lowell,Historic,-3.56511690049254
0029785010,0.0019562785811886862,Wake Forest University School of Medicine,Historic,-6.236711293590239
0026633000,0.05605073455372785,University of New Mexico,Historic,-2.881498024220175
0025361000,0.019775425408088448,University of Montana,Historic,-3.9233152531406708
6250014446,8.286490717872771e-05,6250014446,Historic,-9.398298900539908
0031195000,0.001311077343074843,Sinclair Community College,Historic,-6.63690608046031
0067504000,0.0027098183499117186,Valencia Community College,Historic,-5.91087367588998
0023879000,0.14319146557059734,University of Minnesota-Twin Cities,Historic,-1.9435726242023104
0033290000,0.1419512182188432,Pennsylvania State Univ University Park,Historic,-1.9522718140722033
0029769000,0.01791151777740767,University of North Carolina Greensboro,Historic,-4.0223113218096
0010520000,0.03502973364536835,University of Alabama at Birmingham,Historic,-3.351558045416598
0023259000,0.1424710749940213,Regents of the University of Michigan - Ann Arbor,Historic,-1.9486162823752633
0022301000,0.05942140772142699,Woods Hole Oceanographic Institution,Historic,-2.8231007181911614
0015826000,0.0024535576653766395,Morehouse College,Historic,-6.010216199398251
0017756000,0.16109074571178925,University of Illinois at Urbana-Champaign,Historic,-1.8257874348204641
7203590793,0.003358148305929838,7203590793,Historic,-5.696365556343771
0017756010,0.003358148305929838,0017756010,Historic,-5.696365556343771
0025650000,0.05642501567678914,University of Nebraska-Lincoln,Historic,-2.8748426784444754
0025890000,0.0374843713041684,University of New Hampshire,Historic,-3.2838311980987105
0028357000,0.03574828326183886,SUNY at Albany,Historic,-3.3312530316430125
0033795000,0.08643528379051067,University of Pittsburgh,Historic,-2.448359309330418
0022905000,0.10985230911061501,Michigan State University,Historic,-2.208618459793339
0026542000,0.017463476947811158,New Mexico Institute of Mining and Technology,Historic,-4.0476436104915825
0013177000,0.11732642891473374,University of California-San Diego,Historic,-2.1427952382602546
0028589000,0.0001428189043850963,SUNY College of Technology Farmingdale,Historic,-8.853933133171598
0028217000,0.0005766267974150858,St. John Fisher College,Historic,-7.458315298961149
0028647000,0.00013803485411855007,0028647000,Historic,-8.888004338620062
0028480000,0.005519241616359257,SUNY College at Oswego,Historic,-5.19951481647249
0014175000,0.05672330272263956,University of Connecticut,Historic,-2.869570169916112
0027078000,0.1063999138585034,Columbia University,Historic,-2.2405505116754525
0034488000,0.06641879756671504,University of South Carolina at Columbia,Historic,-2.711775166679565
0028035000,0.046890206957027274,Rensselaer Polytechnic Institute,Historic,-3.0599464322195087
0017392000,0.10904758141525515,Northwestern University,Historic,-2.2159709652576147
0021030060,0.013240789349895667,University of Maryland Center for Environmental Sciences,Historic,-4.324453111678211
5300016977,0.003032651043978905,5300016977,Historic,-5.798318109984519
4010898000,0.002802776037882227,Skidaway Institute of Oceanography,Historic,-5.8771449108542955
0036566000,0.026605151285283492,University of Texas at Arlington,Historic,-3.6266504246021616
0023309000,0.043214855827828066,Western Michigan University,Historic,-3.1415709579435065
0018093000,0.0751608323352115,Indiana University,Historic,-2.588125030320284
0032383000,0.0075473237900888475,Bucknell University,Historic,-4.886562243447626
0037457000,0.08638542358406108,University of Virginia Main Campus,Historic,-2.4489363259228214
0026294000,0.09309992554015911,Rutgers University New Brunswick,Historic,-2.3740818944829036
0013169000,0.10057581080039851,University of California-Riverside,Historic,-2.2968434995292797
0021337000,0.032843120371715336,Brandeis University,Historic,-3.4160129815026625
5300004663,7.975614170781672e-05,Edmonds School District No 15,Historic,-9.436536807254353
5300012977,0.003905169477150847,Mathematics Education Collaborative (MEC),Historic,-5.5454540965936125
0014266000,0.10398249807938363,Yale University,Historic,-2.2635326817009624
4026001000,0.0011951427528876302,4026001000,Historic,-6.729489642249887
4100749000,0.03071875881458974,Smithsonian Institution,Historic,-3.4828817746898024
0028944030,0.008686465383630286,University of Rochester School of Medicine and Dentistry,Historic,-4.745989167715071
0028944000,0.05597625480519171,University of Rochester,Historic,-2.882827699505317
0026278000,0.11680036769943666,Princeton University,Historic,-2.1472890604813504
0034280000,0.003917594007046615,College of Charleston,Historic,-5.542277587328558
0032102000,0.10416212981768735,Oregon State University,Historic,-2.261806653172484
0031252000,0.040929145865324215,University of Cincinnati Main Campus,Historic,-3.1959128568772397
6250041438,0.003807260466349466,6250041438,Historic,-5.570845386178674
0037986000,0.13018417084284073,University of Washington,Historic,-2.0388051323064222
0015693000,0.1296809362362455,Georgia Tech Research Corporation,Historic,-2.0426781819922097
0032235000,0.06107613407124573,University of Oregon Eugene,Historic,-2.795634093508953
0038273000,0.021844192634362235,West Virginia University,Historic,-3.823820176091568
0034017000,0.08232864199866496,Brown University,Historic,-2.4970362124189784
0015362010,0.029026471689381324,University of Miami,Historic,-3.539547048484412
0015370000,0.0730343064886084,University of South Florida,Historic,-2.6168259963278095
0026310000,0.004848523677347943,Rutgers University Newark,Historic,-5.329081016793845
0036442000,0.04466461730265072,Texas Tech University,Historic,-3.108573650035853
4002757000,0.006783015658593968,4002757000,Historic,-4.993333488515188
0037853000,0.000453811137085143,Pacific Lutheran University,Historic,-7.697829444083753
0092650000,0.00168436359662128,North Dakota State University Central Office,Historic,-6.386367473984802
0020776000,0.07887580454668638,Johns Hopkins University,Historic,-2.539880757897836
0021782000,0.11022690178740499,Massachusetts Institute of Technology,Historic,-2.205214294202198
0035303000,0.05916903921129984,University of Tennessee Knoxville,Historic,-2.827356860192821
5000263000,0.001765067486702866,5000263000,Historic,-6.339566353235583
6250035800,0.010318511890999273,6250035800,Historic,-4.573815725934648
5300005206,0.008379964500102245,Concord Consortium,Historic,-4.781911600761767
0020107000,0.07313624611561677,Louisiana State University,Historic,-2.6154311922209774
4000758000,0.01731673001425867,American Mathematical Society,Historic,-4.056082191925445
0046888000,0.0005109763912404269,University of Mississippi Medical Center,Historic,-7.579187169922928
0026393000,0.021176777415646154,Stevens Institute of Technology,Historic,-3.8548501026209836
0030841000,0.00176488986006536,Muskingum College,Historic,-6.3396669927732345
0015644000,0.022963001388213503,Emory University,Historic,-3.773870993591044
0027391000,0.0024868307352315312,Ithaca College,Historic,-5.9967461762954875
0029207000,0.11172450750637967,Duke University,Historic,-2.191719192260235
0011502001,0.0009228786910822494,"University Enterprises, Incorporated",Historic,-6.988012761045605
0290999000,0.0013509613902769873,Wentworth Institute of Tech,Historic,-6.606938799037924
0038950000,0.12849565067354551,University of Wisconsin-Madison,Historic,-2.0518602221181603
4002130000,0.0011430658243776885,"HYPRES, Inc.",Historic,-6.774041306695818
0036327060,0.05208316701774383,Texas A&M Engineering Experiment Station,Historic,-2.954913472298153
0034702000,0.01927801117899062,South Dakota School of Mines and Technology,Historic,-3.94879014973721
0018697000,0.08767079765126691,Iowa State University,Historic,-2.4341664150853237
0010835000,0.1359502719461608,University of Arizona,Historic,-1.9954661075661155
0028381000,0.10866172079535247,SUNY at Stony Brook,Historic,-2.2195157014725377
9000183000,0.005525121985340413,9000183000,Historic,-5.198449953027409
0028373000,0.0655076307498897,SUNY at Buffalo,Historic,-2.7255886431282126
0018101000,0.010600023419066969,Indiana University-Purdue University at Indianapolis,Historic,-4.546899068520616
0023077000,0.004127550214511666,Oakland University,Historic,-5.490071216402282
0025692000,0.0373275950818476,University of Nevada Las Vegas,Historic,-3.2880224113334906
0001024000,0.06226160638124696,Case Western Reserve University,Historic,-2.7764103131250506
5300008543,0.06220730145444418,Georgia Institute of Technology,Historic,-2.7772828993988874
0013482000,0.0417357998489234,Colorado School of Mines,Historic,-3.1763960089194283
0022095000,0.02103531645563762,Smith College,Historic,-3.8615525178104764
4002457000,0.007287489395222058,Cold Spring Harbor Laboratory,Historic,-4.921596182507675
0025163000,0.07794427995709415,University of Missouri-Columbia,Historic,-2.551761067093324
0036962000,0.024886163600875092,University of Vermont & State Agricultural College,Historic,-3.693443308637806
0032565000,0.03927281681371411,Drexel University,Historic,-3.237222683560165
