,mean,std,lower,upper
iteration,500.5,288.8194360957494,-65.58609474766877,1066.5860947476688
num_nodes,2353.0,0.0,2353.0,2353.0
num_edges,7059.0,0.0,7059.0,7059.0
density,0.002551020408163265,0.0,0.002551020408163265,0.002551020408163265
avg_clustering,0.4436138144544223,0.005649235670315496,0.4325413125406039,0.45468631636824064
avg_path_length,7.086260857828044,0.08541715898183982,6.918843226223638,7.253678489432451
diameter,12.614,0.5994692347096416,11.439040299969104,13.788959700030897
transitivity,0.42988459528980416,0.005802344486647294,0.41851200009597544,0.4412571904836329
