,mean,std,lower,upper
iteration,500.5,288.8194360957494,-65.58609474766877,1066.5860947476688
num_nodes,3237.0,0.0,3237.0,3237.0
num_edges,12948.0,0.0,12948.0,12948.0
density,0.0024721878862793566,4.338978721946687e-19,0.0024721878862793557,0.0024721878862793575
avg_clustering,0.47359473635038973,0.004378870375234442,0.4650121504149302,0.48217732228584925
avg_path_length,6.064697935222874,0.04445556225744525,5.977565033198282,6.151830837247466
diameter,10.099,0.2988114594326802,9.513329539511947,10.684670460488054
transitivity,0.46278078902889225,0.004460684884933773,0.45403784665442204,0.47152373140336246
